peripheral_name,register_name,field_name,key,value,agent_judgement,confidence_score
adc1,cr1,,address_offset,0x04,True,1.0
adc1,cr1,,reset_value,0x00000000,True,0.75
adc1,cr1,,size,32,True,0.85
adc1,cr1,AWDEN,bit_offset,23,True,1.0
adc1,cr1,AWDEN,bit_width,1,True,0.99
adc1,cr1,AWDEN,access,read-write,True,0.98
adc1,cr1,JAWDEN,bit_offset,22,True,1.0
adc1,cr1,JAWDEN,bit_width,1,True,0.99
adc1,cr1,JAWDEN,access,read-write,True,1.0
adc1,cr1,DISCNUM[2:0],bit_offset,13,True,1.0
adc1,cr1,DISCNUM[2:0],bit_width,3,True,1.0
adc1,cr1,DISCNUM[2:0],access,read-write,True,0.99
adc1,cr1,JDISCEN,bit_offset,12,True,1.0
adc1,cr1,JDISCEN,bit_width,1,True,0.98
adc1,cr1,JDISCEN,access,read-write,True,0.98
adc1,cr1,DISCEN,bit_offset,11,True,1.0
adc1,cr1,DISCEN,bit_width,1,True,0.98
adc1,cr1,DISCEN,access,read-write,True,1.0
adc1,cr1,JAUTO,bit_offset,10,True,1.0
adc1,cr1,JAUTO,bit_width,1,True,0.99
adc1,cr1,JAUTO,access,read-write,True,0.99
adc1,cr2,,address_offset,0x08,True,1.0
adc1,cr2,,reset_value,0x00000000,True,0.99
adc1,cr2,,size,32,True,0.98
adc1,cr2,AWDSGL,bit_offset,9,True,1.0
adc1,cr2,AWDSGL,bit_width,1,True,0.99
adc1,cr2,AWDSGL,access,read-write,True,0.97
adc1,cr2,SCAN,bit_offset,8,True,1.0
adc1,cr2,SCAN,bit_width,1,True,0.99
adc1,cr2,SCAN,access,read-write,True,0.99
adc1,cr2,JEOCIE,bit_offset,7,True,1.0
adc1,cr2,JEOCIE,bit_width,1,True,0.98
adc1,cr2,JEOCIE,access,read-write,True,1.0
adc1,cr2,AWDIE,bit_offset,6,True,1.0
adc1,cr2,AWDIE,bit_width,1,True,0.98
adc1,cr2,AWDIE,access,read-write,True,0.98
adc1,cr2,EOCIE,bit_offset,5,True,1.0
adc1,cr2,EOCIE,bit_width,1,True,0.99
adc1,cr2,EOCIE,access,read-write,True,0.98
adc1,cr2,AWDCH,bit_offset,0,True,0.99
adc1,cr2,AWDCH,bit_width,5,True,1.0
adc1,cr2,AWDCH,access,read-write,True,0.99
adc1,cr2,TSVREFE,bit_offset,23,True,0.99
adc1,cr2,TSVREFE,bit_width,1,True,1.0
adc1,cr2,TSVREFE,access,read-write,True,1.0
adc1,cr2,SWSTART,bit_offset,22,True,0.99
adc1,cr2,SWSTART,bit_width,1,True,1.0
adc1,cr2,SWSTART,access,read-write,True,0.97
adc1,cr2,DISCNUM,bit_offset,13,False,0.99
adc1,cr2,DISCNUM,bit_width,3,True,0.99
adc1,cr2,DISCNUM,access,read-write,False,0.99
adc1,cr2,JDISCEN,bit_offset,12,True,1.0
adc1,cr2,JDISCEN,bit_width,1,True,0.99
adc1,cr2,JDISCEN,access,read-write,False,1.0
adc1,cr2,DISCEN,bit_offset,11,True,1.0
adc1,cr2,DISCEN,bit_width,1,True,0.98
adc1,cr2,DISCEN,access,read-write,False,1.0
adc1,cr2,JAUTO,bit_offset,10,True,0.99
adc1,cr2,JAUTO,bit_width,1,True,0.99
adc1,cr2,JAUTO,access,read-write,True,0.99
adc1,dr,,address_offset,0x4C,True,1.0
adc1,dr,,reset_value,0x00000000,True,1.0
adc1,dr,,size,32,True,0.98
adc1,dr,DATA,bit_offset,0,True,1.0
adc1,dr,DATA,bit_width,16,True,0.99
adc1,dr,DATA,access,read-only,True,1.0
adc1,htr,,address_offset,0x24,True,1.0
adc1,htr,,reset_value,0x00000FFF,True,1.0
adc1,htr,,size,32,True,0.98
adc1,htr,HT,bit_offset,0,True,1.0
adc1,htr,HT,bit_width,12,True,1.0
adc1,htr,HT,access,read-write,True,0.98
adc1,jdr1,,address_offset,0x3C,True,1.0
adc1,jdr1,,reset_value,0x00000000,True,1.0
adc1,jdr1,,size,32,True,0.99
adc1,jdr1,JDATA,bit_offset,0,True,0.98
adc1,jdr1,JDATA,bit_width,16,True,1.0
adc1,jdr1,JDATA,access,read-only,True,1.0
adc1,jdr2,,address_offset,0x40,True,1.0
adc1,jdr2,,reset_value,0x00000000,True,0.99
adc1,jdr2,,size,32,True,0.97
adc1,jdr2,JDATA,bit_offset,0,True,0.98
adc1,jdr2,JDATA,bit_width,16,True,1.0
adc1,jdr2,JDATA,access,read-only,True,0.99
adc1,jdr3,,address_offset,0x44,True,1.0
adc1,jdr3,,reset_value,0x00000000,True,1.0
adc1,jdr3,,size,32,True,0.99
adc1,jdr3,JDATA,bit_offset,0,True,0.99
adc1,jdr3,JDATA,bit_width,16,True,1.0
adc1,jdr3,JDATA,access,read-only,True,1.0
adc1,jdr4,,address_offset,0x48,True,1.0
adc1,jdr4,,reset_value,0x00000000,True,1.0
adc1,jdr4,,size,32,True,0.99
adc1,jdr4,JDATA,bit_offset,0,True,1.0
adc1,jdr4,JDATA,bit_width,16,True,1.0
adc1,jdr4,JDATA,access,read-only,True,1.0
adc1,jofr1,,address_offset,0x14,True,1.0
adc1,jofr1,,reset_value,0x00000000,True,1.0
adc1,jofr1,,size,32,True,0.9
adc1,jofr1,JOFFSET1,bit_offset,0,True,0.98
adc1,jofr1,JOFFSET1,bit_width,12,True,1.0
adc1,jofr1,JOFFSET1,access,read-write,True,0.97
adc1,jofr2,,address_offset,0x18,True,0.92
adc1,jofr2,,reset_value,0x00000000,True,1.0
adc1,jofr2,,size,32,True,0.9
adc1,jofr2,JOFFSET2,bit_offset,0,True,1.0
adc1,jofr2,JOFFSET2,bit_width,12,True,1.0
adc1,jofr2,JOFFSET2,access,read-write,True,0.96
adc1,jofr3,,address_offset,0x1C,True,1.0
adc1,jofr3,,reset_value,0x00000000,True,0.98
adc1,jofr3,,size,32,True,0.98
adc1,jofr3,JOFFSET3,bit_offset,0,True,0.98
adc1,jofr3,JOFFSET3,bit_width,12,True,0.99
adc1,jofr3,JOFFSET3,access,read-write,True,0.99
adc1,jofr3,Reserved,bit_offset,12,True,0.98
adc1,jofr3,Reserved,bit_width,20,True,0.98
adc1,jofr3,Reserved,access,read-only,True,0.88
adc1,jofr4,,address_offset,0x20,True,1.0
adc1,jofr4,,reset_value,0x00000000,True,1.0
adc1,jofr4,,size,32,True,0.9
adc1,jofr4,JOFFSET4,bit_offset,0,True,0.99
adc1,jofr4,JOFFSET4,bit_width,12,True,0.99
adc1,jofr4,JOFFSET4,access,read-write,True,0.99
adc1,jsqr,,address_offset,0x38,True,1.0
adc1,jsqr,,reset_value,0x00000000,True,1.0
adc1,jsqr,,size,32,True,0.98
adc1,jsqr,JL,bit_offset,20,True,0.99
adc1,jsqr,JL,bit_width,2,True,0.98
adc1,jsqr,JL,access,read-write,True,1.0
adc1,jsqr,JSQ4,bit_offset,15,True,1.0
adc1,jsqr,JSQ4,bit_width,5,True,1.0
adc1,jsqr,JSQ4,access,read-write,True,1.0
adc1,jsqr,JSQ3,bit_offset,10,True,0.99
adc1,jsqr,JSQ3,bit_width,5,True,0.99
adc1,jsqr,JSQ3,access,read-write,True,0.98
adc1,jsqr,JSQ2,bit_offset,5,True,1.0
adc1,jsqr,JSQ2,bit_width,5,True,1.0
adc1,jsqr,JSQ2,access,read-write,True,0.99
adc1,jsqr,JSQ1,bit_offset,0,True,0.99
adc1,jsqr,JSQ1,bit_width,5,True,0.99
adc1,jsqr,JSQ1,access,read-write,True,0.99
adc1,ltr,,address_offset,0x28,True,1.0
adc1,ltr,,reset_value,0x00000000,True,1.0
adc1,ltr,,size,32,True,0.99
adc1,ltr,LT[11:0],bit_offset,0,True,1.0
adc1,ltr,LT[11:0],bit_width,12,True,0.99
adc1,ltr,LT[11:0],access,read-write,True,1.0
adc1,smpr1,,address_offset,0x0C,True,1.0
adc1,smpr1,,reset_value,0x00000000,True,1.0
adc1,smpr1,,size,32,True,0.98
adc1,smpr1,SMP0,bit_offset,0,False,0.98
adc1,smpr1,SMP0,bit_width,3,True,1.0
adc1,smpr1,SMP0,access,read-write,True,0.99
adc1,smpr1,SMP1,bit_offset,3,True,0.98
adc1,smpr1,SMP1,bit_width,3,True,0.99
adc1,smpr1,SMP1,access,read-write,False,1.0
adc1,smpr1,SMP2,bit_offset,6,False,1.0
adc1,smpr1,SMP2,bit_width,3,True,1.0
adc1,smpr1,SMP2,access,read-write,False,1.0
adc1,smpr1,SMP3,bit_offset,9,True,0.97
adc1,smpr1,SMP3,bit_width,3,True,1.0
adc1,smpr1,SMP3,access,read-write,True,0.99
adc1,smpr1,SMP4,bit_offset,12,True,0.98
adc1,smpr1,SMP4,bit_width,3,True,0.98
adc1,smpr1,SMP4,access,read-write,False,1.0
adc1,smpr1,SMP5,bit_offset,15,False,0.99
adc1,smpr1,SMP5,bit_width,3,True,0.98
adc1,smpr1,SMP5,access,read-write,True,0.97
adc1,smpr1,SMP6,bit_offset,18,True,0.98
adc1,smpr1,SMP6,bit_width,3,True,1.0
adc1,smpr1,SMP6,access,read-write,True,0.98
adc1,smpr1,SMP7,bit_offset,21,False,0.98
adc1,smpr1,SMP7,bit_width,3,True,0.99
adc1,smpr1,SMP7,access,read-write,True,0.98
adc1,smpr1,SMP8,bit_offset,24,False,0.96
adc1,smpr1,SMP8,bit_width,3,False,0.97
adc1,smpr1,SMP8,access,read-write,False,1.0
adc1,smpr1,SMP9,bit_offset,27,True,0.92
adc1,smpr1,SMP9,bit_width,3,True,0.99
adc1,smpr1,SMP9,access,read-write,False,1.0
adc1,smpr2,,address_offset,0x10,True,1.0
adc1,smpr2,,reset_value,0x00000000,True,1.0
adc1,smpr2,,size,32,True,0.99
adc1,smpr2,SMP0,bit_offset,0,True,1.0
adc1,smpr2,SMP0,bit_width,3,True,0.99
adc1,smpr2,SMP0,access,read-write,True,0.99
adc1,smpr2,SMP1,bit_offset,3,False,0.98
adc1,smpr2,SMP1,bit_width,3,True,0.98
adc1,smpr2,SMP1,access,read-write,True,1.0
adc1,smpr2,SMP2,bit_offset,6,True,0.98
adc1,smpr2,SMP2,bit_width,3,True,0.99
adc1,smpr2,SMP2,access,read-write,True,0.97
adc1,smpr2,SMP3,bit_offset,9,True,0.98
adc1,smpr2,SMP3,bit_width,3,True,1.0
adc1,smpr2,SMP3,access,read-write,True,1.0
adc1,smpr2,SMP4,bit_offset,12,True,0.98
adc1,smpr2,SMP4,bit_width,3,True,1.0
adc1,smpr2,SMP4,access,read-write,True,0.99
adc1,smpr2,SMP5,bit_offset,15,True,0.96
adc1,smpr2,SMP5,bit_width,3,True,1.0
adc1,smpr2,SMP5,access,read-write,True,0.97
adc1,smpr2,SMP6,bit_offset,18,True,0.96
adc1,smpr2,SMP6,bit_width,3,True,0.99
adc1,smpr2,SMP6,access,read-write,True,0.98
adc1,smpr2,SMP7,bit_offset,21,False,0.98
adc1,smpr2,SMP7,bit_width,3,True,1.0
adc1,smpr2,SMP7,access,read-write,True,0.98
adc1,smpr2,SMP8,bit_offset,24,True,0.99
adc1,smpr2,SMP8,bit_width,3,True,0.99
adc1,smpr2,SMP8,access,read-write,True,0.98
adc1,smpr2,SMP9,bit_offset,27,False,0.95
adc1,smpr2,SMP9,bit_width,3,True,0.99
adc1,smpr2,SMP9,access,read-write,True,0.99
